,user,text,favorite_count,retweet_count,created_at
108,elonmusk,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted &amp; demonetized, so no ads or other revenue to Twitter. 

You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet.",415951,42880,2022-11-18 18:31:47+00:00
109,elonmusk,Freedom Fridays …,386380,24658,2022-11-18 18:22:01+00:00
110,elonmusk,@BillyM2k Jazz hands 🤗,31835,1226,2022-11-18 18:19:37+00:00
111,elonmusk,What should Twitter do next?,518275,32647,2022-11-18 17:38:07+00:00
112,elonmusk,@Yemen_770 🤣,2484,106,2022-11-18 17:37:40+00:00
113,elonmusk,@micsolana You don’t say …,41933,2336,2022-11-18 16:40:26+00:00
114,elonmusk,@SamTwits Of course not ❤️,49535,1454,2022-11-18 15:56:43+00:00
115,elonmusk,@DrKrusher 🥱,38379,1006,2022-11-18 15:33:16+00:00
116,elonmusk,@MikeDulaimi I stand corrected!,20764,501,2022-11-18 15:20:01+00:00
117,elonmusk,https://t.co/OjhQJvruTy,790293,100543,2022-11-18 15:16:30+00:00
118,elonmusk,@lionxmah @folha ?,3028,128,2022-11-18 10:26:25+00:00
119,elonmusk,@AOC You’re welcome,549049,21948,2022-11-18 09:47:40+00:00
120,elonmusk,"@WholeMarsBlog Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",55334,5486,2022-11-18 09:25:02+00:00
121,elonmusk,@piersmorgan Seriously,133240,4645,2022-11-18 08:56:22+00:00
122,elonmusk,https://t.co/JU073T756X,344249,23884,2022-11-18 06:40:12+00:00
123,elonmusk,https://t.co/rbwbsLA1ZG,2136537,236354,2022-11-18 04:23:16+00:00
124,elonmusk,🏴‍☠️,544838,35180,2022-11-18 04:20:14+00:00
125,elonmusk,@ashleevance 🤣,8787,276,2022-11-18 04:19:11+00:00
126,elonmusk,Let that sink in …,231154,9356,2022-11-18 04:12:21+00:00
127,elonmusk,And … we just hit another all-time high in Twitter usage lol,724966,47576,2022-11-18 04:07:05+00:00
128,elonmusk,"@stoolpresidente The best people are staying, so I’m not super worried",197350,12920,2022-11-18 03:58:03+00:00
129,elonmusk,"@bgurley @MichaelGuimarin Don’t wanna jinx it, but there’s a chance we can keep Twitter alive … https://t.co/mk3aCq0dEB",13520,1221,2022-11-18 03:46:11+00:00
130,elonmusk,@anothercohen Thanks for helping out. You’re a lifesaver!,139114,4746,2022-11-18 03:34:58+00:00
131,elonmusk,@MichaelGuimarin Thanks!,16779,428,2022-11-18 01:29:38+00:00
132,elonmusk,"How do you make a small fortune in social media?

Start out with a large one.",460913,26755,2022-11-18 01:25:55+00:00
133,elonmusk,@growing_daniel @micsolana 🤣,36206,1458,2022-11-17 23:34:38+00:00
134,elonmusk,"@EvaFoxU The media constantly writing about Twitter is driving usage to all-time highs, so it’s fine by me!",108773,7677,2022-11-17 23:28:28+00:00
135,elonmusk,@MinimalDuck @Tesla Cybertruck is something special that comes along once in a long while,46091,2298,2022-11-17 20:28:52+00:00
136,elonmusk,"@heydave7 Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.

Somehow, other countries do just fine without class-action law.",12784,1350,2022-11-17 17:53:14+00:00
137,elonmusk,@heydave7 The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,14743,1042,2022-11-17 17:50:20+00:00
138,elonmusk,@AutismCapital Ok,7171,203,2022-11-17 17:41:14+00:00
139,elonmusk,@chazman We’re working on something that should rank replies automatically,13178,632,2022-11-17 15:31:43+00:00
140,elonmusk,Twitter is like open-sourcing the news,405101,32023,2022-11-17 15:26:13+00:00
141,elonmusk,@dogeofficialceo Polycule 🔥🔥,16712,801,2022-11-17 15:24:04+00:00
142,elonmusk,@sama Probably,7113,293,2022-11-17 15:21:51+00:00
143,elonmusk,@Dilbert_Daily Even TikTok is super dependent on ads,24964,1313,2022-11-17 15:21:10+00:00
144,elonmusk,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.",60272,3626,2022-11-17 15:15:23+00:00
145,elonmusk,@growing_daniel @jeremiahscholl I don’t wanna brag but … it’s true,6218,205,2022-11-17 15:11:47+00:00
146,elonmusk,@minliangtan Definitely,9416,351,2022-11-17 08:45:55+00:00
147,elonmusk,Not to mention the sickkk memes lol,133672,5632,2022-11-17 08:37:59+00:00
148,elonmusk,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media,317901,28828,2022-11-17 08:35:22+00:00
149,elonmusk,@BillyM2k @adamscochran @accretionist Ability to do long tweets coming soon,17004,1335,2022-11-17 07:43:09+00:00
150,elonmusk,@westcoastbill https://t.co/O9quYfsUqV,5452,312,2022-11-17 07:24:53+00:00
151,elonmusk,"@AutismCapital It’s not his fault, society is to blame. Arrest society!",15643,990,2022-11-17 06:50:26+00:00
152,elonmusk,@SaladBarFan 🎯,14605,661,2022-11-17 05:04:19+00:00
153,elonmusk,@DavidSacks I believe in vice-signaling,15187,1012,2022-11-17 03:34:42+00:00
154,elonmusk,"@laurenweinstein @stocktalkweekly Correct. I will continue to run Twitter until it is in a strong place, which will take some time.",9342,667,2022-11-17 03:32:28+00:00
155,elonmusk,@jack Magic 🎱 knows all,119923,6116,2022-11-17 03:30:38+00:00
156,elonmusk,@amitkgupta84 @Jason Literally working on that tonight,5812,251,2022-11-17 03:16:59+00:00
157,elonmusk,@paulg People have no idea how fast Twitter will evolve,27383,2348,2022-11-16 22:26:02+00:00
158,elonmusk,@WholeMarsBlog Yep,10277,499,2022-11-16 22:17:42+00:00
159,elonmusk,"@realGeorgeHotz @boing Sure, let’s talk.",10474,465,2022-11-16 20:23:08+00:00
160,elonmusk,"@jimmyfallon Wait a second, how do we know you’re not an alien body snatcher pretending to be Jimmy!? 

Say something that only the real Jimmy would say …",51816,1986,2022-11-16 18:56:33+00:00
161,elonmusk,@rising_serpent Why is that?,73465,3474,2022-11-16 17:25:25+00:00
162,elonmusk,@jimmyfallon Sounds like a job for @CommunityNotes!,10654,323,2022-11-16 17:19:54+00:00
163,elonmusk,"@bowx_ To heir is human, to forgive, divine (something like that)",8298,359,2022-11-16 13:55:43+00:00
164,elonmusk,@jimmyfallon Fix what?,173759,5951,2022-11-16 13:53:57+00:00
165,elonmusk,@Mrwhosetheboss Maybe,79030,1833,2022-11-16 13:45:50+00:00
166,elonmusk,@NASA @NASAArtemis @NASA_SLS @NASA_Orion Congratulations!!,39820,1799,2022-11-16 08:25:44+00:00
167,elonmusk,@JuliusSinghania @wongmjane X will be the everything app,8095,757,2022-11-16 07:17:56+00:00
168,elonmusk,@yukaichou I’m the taint haha,10242,422,2022-11-16 07:09:17+00:00
169,elonmusk,"@nichegamer @teslaownersSV @chicago_glenn @stillgray @dcherring Yeah, next-level 🤣🤣",2526,111,2022-11-16 07:07:09+00:00
170,elonmusk,@teslaownersSV @chicago_glenn @stillgray @dcherring @nichegamer Fasting + Ozempic/Wegovy + no tasty food near me,4444,289,2022-11-16 06:36:21+00:00
171,elonmusk,@chicago_glenn @stillgray @dcherring @nichegamer Down 30 lbs!,5619,200,2022-11-16 06:33:50+00:00
172,elonmusk,@jhall @stillgray @dcherring @nichegamer @Forbes Yup,2484,115,2022-11-16 06:33:19+00:00
173,elonmusk,@wongmjane 😉,23879,800,2022-11-16 06:07:05+00:00
174,elonmusk,"@stevenmarkryan My apologies, this will be fixed within a week, two at most",5452,243,2022-11-16 05:52:20+00:00
175,elonmusk,@stillgray @dcherring @nichegamer Agreed. What will matter in the future is how many Verified followers you have.,6386,500,2022-11-16 05:43:18+00:00
176,elonmusk,@teslaownersSV We’ll widen V11 beta before Thanksgiving,11841,776,2022-11-16 01:34:35+00:00
177,elonmusk,@dcherring @nichegamer Hard to say who’s celeb &amp; who isn’t. Being able to sort by follower count &amp; disallowing deliberate impersonation probably solves this.,4868,294,2022-11-16 01:24:51+00:00
